Hospital,City,State,deathCause,deathRate
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,heart attack,14.3
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,heart failure,11.4
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,pneumonia,10.9
MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,heart attack,18.5
MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,heart failure,15.2
MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,pneumonia,13.9
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,heart attack,18.1
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,heart failure,11.3
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,pneumonia,13.4
MIZELL MEMORIAL HOSPITAL,OPP,AL,heart attack,
MIZELL MEMORIAL HOSPITAL,OPP,AL,heart failure,13.6
MIZELL MEMORIAL HOSPITAL,OPP,AL,pneumonia,14.9
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,heart attack,
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,heart failure,13.8
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,pneumonia,15.8
MARSHALL MEDICAL CENTER NORTH,GUNTERSVILLE,AL,heart attack,
MARSHALL MEDICAL CENTER NORTH,GUNTERSVILLE,AL,heart failure,12.5
MARSHALL MEDICAL CENTER NORTH,GUNTERSVILLE,AL,pneumonia,8.7
ST VINCENT'S EAST,BIRMINGHAM,AL,heart attack,17.7
ST VINCENT'S EAST,BIRMINGHAM,AL,heart failure,10.9
ST VINCENT'S EAST,BIRMINGHAM,AL,pneumonia,16.2
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,heart attack,18
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,heart failure,16.6
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,pneumonia,15.8
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,heart attack,15.9
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,heart failure,13.6
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,pneumonia,10.7
CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,heart attack,
CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,heart failure,
CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,pneumonia,
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,heart attack,19.6
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,heart failure,12.6
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,pneumonia,15
DALE MEDICAL CENTER,OZARK,AL,heart attack,17.3
DALE MEDICAL CENTER,OZARK,AL,heart failure,11.8
DALE MEDICAL CENTER,OZARK,AL,pneumonia,9.9
CHEROKEE MEDICAL CENTER,CENTRE,AL,heart attack,
CHEROKEE MEDICAL CENTER,CENTRE,AL,heart failure,12.1
CHEROKEE MEDICAL CENTER,CENTRE,AL,pneumonia,14.7
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,heart attack,17.8
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,heart failure,11.8
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,pneumonia,14.3
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,heart attack,17.5
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,heart failure,10.2
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,pneumonia,14.7
GEORGE H. LANIER MEMORIAL HOSPITAL,VALLEY,AL,heart attack,15.4
GEORGE H. LANIER MEMORIAL HOSPITAL,VALLEY,AL,heart failure,8.8
GEORGE H. LANIER MEMORIAL HOSPITAL,VALLEY,AL,pneumonia,10.3
ELBA GENERAL HOSPITAL,ELBA,AL,heart attack,
ELBA GENERAL HOSPITAL,ELBA,AL,heart failure,
ELBA GENERAL HOSPITAL,ELBA,AL,pneumonia,12
EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,heart attack,16.3
EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,heart failure,12.9
EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,pneumonia,12.1
WEDOWEE HOSPITAL,WEDOWEE,AL,heart attack,
WEDOWEE HOSPITAL,WEDOWEE,AL,heart failure,10.4
WEDOWEE HOSPITAL,WEDOWEE,AL,pneumonia,13.9
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,heart attack,15
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,heart failure,12.5
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,pneumonia,12.7
COMMUNITY HOSPITAL INC,TALLASSEE,AL,heart attack,17.1
COMMUNITY HOSPITAL INC,TALLASSEE,AL,heart failure,12.3
COMMUNITY HOSPITAL INC,TALLASSEE,AL,pneumonia,11.6
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,heart attack,17.1
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,heart failure,12.1
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,pneumonia,12.1
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,heart attack,
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,heart failure,10.1
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,pneumonia,11.1
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,heart attack,16.4
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,heart failure,12
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,pneumonia,12
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,heart attack,15.2
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,heart failure,12.4
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,pneumonia,14.1
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,heart attack,16.7
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,heart failure,10.7
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,pneumonia,14.6
CHILTON MEDICAL CENTER,CLANTON,AL,heart attack,
CHILTON MEDICAL CENTER,CLANTON,AL,heart failure,11.5
CHILTON MEDICAL CENTER,CLANTON,AL,pneumonia,11.2
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,heart attack,
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,heart failure,11.5
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,pneumonia,10
FAYETTE MEDICAL CENTER,FAYETTE,AL,heart attack,16.7
FAYETTE MEDICAL CENTER,FAYETTE,AL,heart failure,11.7
FAYETTE MEDICAL CENTER,FAYETTE,AL,pneumonia,12.9
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,heart attack,16.9
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,heart failure,10.8
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,pneumonia,12.7
GEORGIANA HOSPITAL,GEORGIANA,AL,heart attack,14.5
GEORGIANA HOSPITAL,GEORGIANA,AL,heart failure,10.8
GEORGIANA HOSPITAL,GEORGIANA,AL,pneumonia,11.3
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,heart attack,16.6
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,heart failure,12.9
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,pneumonia,12.9
ST VINCENTS BLOUNT,ONEONTA,AL,heart attack,
ST VINCENTS BLOUNT,ONEONTA,AL,heart failure,13
ST VINCENTS BLOUNT,ONEONTA,AL,pneumonia,15.3
GREENE COUNTY HOSPITAL,EUTAW,AL,heart attack,
GREENE COUNTY HOSPITAL,EUTAW,AL,heart failure,11.2
GREENE COUNTY HOSPITAL,EUTAW,AL,pneumonia,11.5
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,heart attack,
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,heart failure,10.9
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,pneumonia,10.8
PARKWAY MEDICAL CENTER,DECATUR,AL,heart attack,15.8
PARKWAY MEDICAL CENTER,DECATUR,AL,heart failure,10.5
PARKWAY MEDICAL CENTER,DECATUR,AL,pneumonia,11.9
FLOWERS HOSPITAL,DOTHAN,AL,heart attack,15.2
FLOWERS HOSPITAL,DOTHAN,AL,heart failure,12
FLOWERS HOSPITAL,DOTHAN,AL,pneumonia,11.3
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,heart attack,16.2
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,heart failure,10.6
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,pneumonia,12.6
BIBB MEDICAL CENTER,CENTREVILLE,AL,heart attack,
BIBB MEDICAL CENTER,CENTREVILLE,AL,heart failure,14
BIBB MEDICAL CENTER,CENTREVILLE,AL,pneumonia,13.6
LAWRENCE MEDICAL CENTER,MOULTON,AL,heart attack,15.6
LAWRENCE MEDICAL CENTER,MOULTON,AL,heart failure,9.9
